id,username,hashed_password,first_name,last_name,date_of_birth,occupation,created_at,created_by,updated_at,updated_by
1,sangne,123,Sang,Thái,1990-01-01,,2025-03-20 08:00:00.000000,,2025-03-20 08:00:00.000000,
2,ancute96,123,An,Võ,1990-01-01,,2025-03-19 10:00:00.000000,,2025-03-19 10:00:00.000000,
3,hoangle,123,Hoàng,Hoàng,1990-01-01,,2025-03-18 11:30:00.000000,,2025-03-18 11:30:00.000000,
4,tranhalinh,123,Linh,Trần Hà,1990-01-01,,2025-03-17 15:00:00.000000,,2025-03-17 15:00:00.000000,
5,emma88,123,Emma,Jackson,1994-01-28,,2024-05-28 10:47:22.000000,,2024-05-28 10:47:22.000000,
6,jane93,123,Jane,Brown,2002-06-22,,2024-10-09 10:47:22.000000,,2024-10-09 10:47:22.000000,
7,jane30,123,Jane,Anderson,1985-06-09,,2024-11-05 10:47:22.000000,,2024-11-05 10:47:22.000000,
8,alex29,123,Alex,White,1978-01-07,,2024-10-09 10:47:22.000000,,2024-10-09 10:47:22.000000,
9,emily72,123,Emily,Taylor,1970-09-12,,2025-01-24 10:47:22.000000,,2025-01-24 10:47:22.000000,
10,emily55,123,Emily,Jackson,1981-08-08,,2024-08-04 10:47:22.000000,,2024-08-04 10:47:22.000000,
11,emily37,123,Emily,White,2004-11-04,,2025-01-08 10:47:22.000000,,2025-01-08 10:47:22.000000,
12,david78,123,David,Johnson,1996-02-18,,2024-12-05 10:47:22.000000,,2024-12-05 10:47:22.000000,
13,michael51,123,Michael,Martin,1992-05-21,,2024-10-09 10:47:22.000000,,2024-10-09 10:47:22.000000,
14,michael59,123,Michael,Brown,1974-04-24,,2025-03-10 10:47:22.000000,,2025-03-10 10:47:22.000000,
15,olivia71,123,Olivia,Taylor,2005-09-19,,2025-01-02 10:47:22.000000,,2025-01-02 10:47:22.000000,
16,emma55,123,Emma,Johnson,1988-11-23,,2024-09-26 10:47:22.000000,,2024-09-26 10:47:22.000000,
17,emily36,123,Emily,Jackson,1988-12-21,,2024-08-29 10:47:22.000000,,2024-08-29 10:47:22.000000,
18,daniel48,123,Daniel,Martin,2005-09-03,,2024-08-10 10:47:22.000000,,2024-08-10 10:47:22.000000,
